Category,Country,Tourists,Locals,Latitude,Longitude,Percentage,
Overtourism,Croatia,57587000,4170600,45.1,15.2,13.8078,
Overtourism,Iceland,1891000,334250,64.9631,-19.0208,5.6574,
Overtourism,Hungary,52890000,9817960,47.1625,19.5033,5.3871,
Overtourism,Denmark,28692000,5731120,56.2639,9.5018,5.0064,
Overtourism,France,202930000,66896110,46.6034,1.8883,3.0335,
Overtourism,Czech Republic,30915000,10561630,49.7439,15.3381,2.9271,
Overtourism,Singapore,16404000,5607280,1.3571,103.8195,2.9255,
Overtourism,Cyprus,3286000,1170130,34.9823,33.1451,2.8082,
Overtourism,Greece,28071000,10746740,38.9954,21.9877,2.6120,
Overtourism,Spain,115561000,46443960,39.3261,-4.838,2.4882,
,,,,,,,
,,,,,,,
