Category,Country,Tourists,Locals,Latitude,Longitude,Percentage,,
Undertourism,Tanzania,1284000,55572200,-6.369,34.8888,0.0231,,
Undertourism,Papua New Guinea,198000,8084990,-6.315,143.9556,0.0245,,
Undertourism,Kenya,1340000,48461570,-0.0236,37.9062,0.0277,,
Undertourism,Indonesia,11519000,261115460,-0.7893,113.9213,0.0441,,
Undertourism,Egypt,5399000,95688680,26.8206,30.8025,0.0564,,
Undertourism,Mozambique,1715000,28829480,-19.3022,34.9145,0.0595,,
Undertourism,Iran,4942000,80277430,32.6475,54.5644,0.0616,,
Undertourism,Colombia,4048000,48653420,4.0999,-72.9088,0.0832,,
Undertourism,Sri Lanka,2168000,21203000,7.5555,80.7138,0.1022,,
Undertourism,China,141774000,1378665000,35.0001,104.9999,0.1028,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
