Category,Country,Tourists,Locals,Latitude,Longitude
Undertourism,Tanzania,1284000,55572200,-6.369028,34.888821
Undertourism,Papua New Guinea,198000,8084990,-6.314993,143.955551
Undertourism,Kenya,1340000,48461570,-0.023559,37.906193
Undertourism,Indonesia,11519000,261115460,-0.789275,113.921326
Undertourism,Egypt,5399000,95688680,26.820553,30.802498
Undertourism,Mozambique,1715000,28829480,-19.302233,34.9144977
Undertourism,Iran,4942000,80277430,32.6475314,54.5643516
Undertourism,Colombia,4048000,48653420,4.099917,-72.9088133
Undertourism,Sri Lanka,2168000,21203000,7.5554942,80.7137847
Undertourism,China,14177400,137866500,35.000074,104.999927
,,,,,
